,parentTconst,primaryTitle,seasonNumber,year,numSeasons,startYear,averageRating,numVotes,avgVotes,intYear,yearVotes,propVotes
6274,tt0103586,The Young Indiana Jones Chronicles,2.0,1993.0,2.0,1992.0,7.695454545454546,2706,1817.5,1993,260749,1.037779627151015
6296,tt0105932,"The Adventures of Brisco County, Jr.",1.0,1993.0,1.0,1993.0,7.937037037037038,3914,3914.0,1993,260749,1.5010604067513202
6306,tt0105941,Animaniacs,1.0,1993.0,5.0,1993.0,8.416923076923078,9779,2718.2,1993,260749,3.7503499534034646
6322,tt0105946,Babylon 5,1.0,1993.0,5.0,1993.0,7.3521739130434804,23626,13929.0,1993,260749,9.060820942745705
6328,tt0105950,Beavis and Butt-Head,1.0,1993.0,9.0,1993.0,7.033333333333334,564,3238.75,1993,260749,0.21629996663457962
6338,tt0105958,Boy Meets World,1.0,1993.0,7.0,1993.0,7.895454545454545,5501,4723.857142857143,1993,260749,2.10969169584543
6350,tt0105977,Cracker,1.0,1993.0,3.0,1993.0,8.242857142857144,1929,1894.0,1993,260749,0.739791907159759
6358,tt0105986,Diagnosis Murder,1.0,1993.0,8.0,1993.0,7.684210526315789,1558,1551.25,1993,260749,0.5975094822990692
6375,tt0106004,Frasier,1.0,1993.0,12.0,1993.0,8.125,21084,16415.636363636364,1993,260749,8.08593705057354
6395,tt0106017,Grace Under Fire,1.0,1993.0,5.0,1993.0,7.6000000000000005,1433,1436.2,1993,260749,0.5495706599066535
6401,tt0106028,Homicide: Life on the Street,1.0,1993.0,7.0,1993.0,8.177777777777777,1932,1972.857142857143,1993,260749,0.7409424388971769
6482,tt0106057,Lois & Clark: The New Adventures of Superman,1.0,1993.0,4.0,1993.0,7.623809523809523,6275,5271.0,1993,260749,2.406528884099268
6490,tt0106064,Mighty Morphin Power Rangers,1.0,1993.0,3.0,1993.0,7.214754098360657,28730,22816.666666666668,1993,260749,11.018258938672822
6510,tt0106079,NYPD Blue,1.0,1993.0,12.0,1993.0,8.063636363636364,3508,2006.1666666666667,1993,260749,1.345355111620754
6522,tt0106080,The Nanny,1.0,1993.0,6.0,1993.0,7.686363636363635,7218,5982.0,1993,260749,2.768179360227652
6566,tt0106115,Rocko's Modern Life,1.0,1993.0,4.0,1993.0,8.042857142857143,1528,1137.75,1993,260749,0.5860041649248895
6572,tt0106122,Saved by the Bell: The College Years,1.0,1993.0,1.0,1993.0,7.51578947368421,1339,1339.0,1993,260749,0.5135206654675569
6610,tt0106145,Star Trek: Deep Space Nine,1.0,1993.0,7.0,1993.0,7.0473684210526315,38119,41734.71428571428,1993,260749,14.619039766211952
6625,tt0106168,"Walker, Texas Ranger",1.0,1993.0,9.0,1993.0,7.033333333333334,535,1834.0,1993,260749,0.2051781598395392
8673,tt0140749,Mighty Max,1.0,1993.0,2.0,1993.0,7.723076923076921,1035,1431.5,1993,260749,0.39693344940920194
11088,tt0222518,Adventures of Sonic the Hedgehog,1.0,1993.0,1.0,1993.0,6.3181818181818175,1297,1297.0,1993,260749,0.49741322114370523
11772,tt0252792,Tous les garçons et les filles de leur âge...,1.0,1993.0,1.0,1993.0,7.2333333333333325,1072,1072.0,1993,260749,0.411123340837357
15233,tt0401937,Generations,1.0,1993.0,19.0,1993.0,9.978594249201276,5248,5248.0,1993,260749,2.0126635193231803
23976,tt12606372,Detective Extralarge,2.0,1993.0,2.0,1991.0,6.033333333333334,1085,1094.0,1993,260749,0.4161089783661682
24144,tt12749392,Sharpe,1.0,1993.0,7.0,1993.0,7.800000000000001,7250,5165.285714285715,1993,260749,2.7804516987601104
5460,tt0098749,"Beverly Hills, 90210",5.0,1994.4444444444443,10.0,1990.0,6.618749999999999,3984,3851.9,1994,376247,1.058878874781726
5527,tt0098800,The Fresh Prince of Bel-Air,5.0,1994.8,6.0,1990.0,7.519999999999998,12196,14679.0,1994,376247,3.241487639768556
5602,tt0098830,In Living Color,5.0,1994.0,5.0,1990.0,6.630769230769231,802,1044.0,1994,376247,0.2131578457768434
5620,tt0098844,Law & Order,5.0,1994.2105263157894,20.0,1990.0,7.765217391304346,5234,4987.65,1994,376247,1.3911074374014942
5652,tt0098878,Northern Exposure,5.0,1994.0,6.0,1990.0,7.824999999999999,2508,2571.8333333333335,1994,376247,0.6665833880403033
5738,tt0098948,Wings,5.0,1994.0,8.0,1990.0,7.879166666666669,2026,1884.75,1994,376247,0.5384760542941206
5811,tt0101069,The Commish,4.0,1994.75,5.0,1991.0,7.9363636363636365,1530,1435.0,1994,376247,0.4066477606465965
5826,tt0101081,Dinosaurs,4.0,1994.0,4.0,1991.0,7.907142857142857,1502,2047.5,1994,376247,0.3992058408439137
5865,tt0101120,Home Improvement,4.0,1994.4285714285713,8.0,1991.0,7.403846153846155,4599,4786.0,1994,376247,1.2223353275906519
5932,tt0101178,The Ren & Stimpy Show,4.0,1994.75,5.0,1991.0,7.1230769230769235,1069,1278.0,1994,376247,0.28412186675242596
